title,artist,year,decade,lyrics
In Da Club,50 Cent,2003,2000s,"273 ContributorsTranslationsTürkçePortuguêsItalianoEnglishEspañolDeutschРусский (Russian)In da Club Lyrics“In da Club” was the first of seven tracks 50 Cent recorded with Dr. Dre in only five days. Originally planned as a D12 song for the 8 Mile soundtrack, producer Dr Dre played the instrumental for 50 who… Read More 

Go, go
Go, go, go, go
Go, shawty, it's your birthday
We gon' party like it's your birthday
We gon' sip Bacardí like it's your birthday
And you know we don't give a fuck it's not your birthday

You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed

When I pull up out front, you see the Benz on dubs (Uh-huh)
When I roll twenty deep, it's twenty nines in the club (Yeah)
Niggas heard I fuck with Dre, now they wanna show me love
When you sell like Eminem, then the hoes, they wanna fuck (Woo)
Look homie, ain't nothin' changed, hoes down, G's up
I see Xzibit in the cut, hey, nigga, roll that weed up (Roll that)
If you watch how I move, you'll mistake me for a player or pimp
Been hit with a few shells, but I don't walk with a limp (I'm aight)
In the hood in L.A., they sayin', ""50, you hot"" (Uh-huh)
They like me, I want 'em to love me like they love Pac
But holla in New York, the niggas'll tell you I'm loco (Yeah)
And the plan is to put the rap game in a chokehold (Uh-huh)
I'm fully focused, man, my money on my mind
Got a mil' out the deal and I'm still on the grind (Woo)
Now shawty said she feelin' my style, she feelin' my flow (Uh-huh)
Her girlfriend with her, they bi and they ready to go (Okay)

You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Rubbed)

My flow, my show brought me the dough
That bought me all my fancy things
My crib, my cars, my clothes, my jewels
Look, nigga, I done came up and I ain't changed (What? What? Yeah)

And you should love it way more than you hate it
Nigga, you mad? I thought that you'd be happy I made it (Woo)
I'm that cat by the bar toastin' to the good life
You that faggot-ass nigga tryna pull me back, right?
When my joint get to bumpin' in the club, it's on
I wink my eye at your bitch, if she smiles, she gone
If the roof on fire, let the motherfucker burn
If you talkin' about money, homie, I ain't concerned
I'ma tell you what Banks told me, ""Cuz, go 'head, switch the style up
If niggas hate, then let 'em hate, and watch the money pile up""
Or we can go upside your head with a bottle of bub'
They know where we fuckin' be

You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed
You can find me in the club, bottle full of bub'
Look, mami, I got the X if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug if you into gettin' rubbed (Hahahaha)

Don't try to act like you don't know where we be neither, nigga
We in the club all the time, nigga, so pop, pop off, nigga
G-Unit"
Hey Ya,Outkast,2003,2000s,"235 ContributorsTranslationsEspañolFrançaisDeutschPortuguêsHey Ya! Lyrics“Hey Ya!” is the first single from André 3000’s half of OutKast’s Speakerboxxx/The Love Below double album. André said the following about the concept of this genre-bending song:

‘Hey Ya!’ is pretty much… Read More 
One, two, three, uh

My baby don't mess around
Because she loves me so, and this I know for sure (Uh)
But does she really wanna
But can't stand to see me walk out the door? (Ah)
Don't try to fight the feeling
'Cause the thought alone is killing me right now (Uh)
Thank God for Mom and Dad
For sticking two together 'cause we don't know how (Come on)

Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!
Hey ya! Hey ya!

You think you've got it, oh, you think you've got it
But ""got it"" just don't get it 'til there's nothing at all (Ah!)
We get together, oh, we get together
But separate's always better when there's feelings involved (Ah)
If what they say is, ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes love the exception?
So why oh, why oh, why oh, why oh, why oh
Are we so in denial when we know we're not happy here?
Y'all don't wanna hear me, you just wanna dance

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Don't want to meet your daddy
Hey ya! (Uh-oh)
Just want you in my Caddy (Uh-oh)
Hey ya! (Uh-oh)
Don't want to meet your mama
Hey ya! (Uh-oh)
Just want to make you cum-a' (Uh-oh)
Hey ya!
I'm (Uh-oh), I'm (Uh-oh)
Hey ya!
I'm just being honest (Uh-oh)
I'm just being honest
Hey ya!

Hey, all right now, all right now, fellas (Yeah?)
Now, what's cooler than being cool? (Ice Cold!)
I can't hear ya
I say what's, what's cooler than being cool? (Ice Cold!) (Woo!)
All right, all right, all right, all right, all right, all right, all right, all right
All right, all right, all right, all right, all right, all right
Okay now, ladies (Yeah?)
Now, we gon' break this thing down in just a few seconds
Now, don't have me break this thing down for nothing
Now, I want to see y'all on your baddest behavior
Lend me some sugar, I am your neighbor
Ah, here we go!

Shake it, sh-shake it, shake it, sh-shake it (Uh-oh)
Shake it, sh-shake it, shake it, shake it, sh-shake it (Uh-oh)
Shake it like a Polaroid picture, hey ya!
Shake it, sh-shake it, shake it, sh-shake it
Shake it, shake it (Okay), shake it, sugar
Shake it like a Polaroid picture

Now, all the Beyoncés and Lucy Lius
And baby dolls, get on the floor (Get on the floor)
You know what to do, oh, you know what to do
You know what to do

Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh, hey ya!)
Hey ya! (Uh-oh) Hey ya! (Oh, oh, uh-oh)
Hey ya! (Uh-oh) Hey ya! (Uh-oh)
Hey ya! Hey ya!"
Since U Been Gone,Kelly Clarkson,2004,2000s,"57 ContributorsSince U Been Gone Lyrics“Since U Been Gone” was released as the second single from Kelly Clarkson’s second album, Breakaway.

To continue with the trend of twos, it’s also the second track on the tracklisting, and peaked at number… Read More 
Here's the thing, we started out friends
It was cool, but it was all pretend
Yeah, yeah
Since you been gone

You're dedicated, you took the time
Wasn't long 'til I called you mine
Yeah, yeah
Since you been gone

And all you'd ever hear me say
Is how I picture me with you (You, you)
That's all you'd ever hear me say

But since you been gone
I can breathe for the first time
I'm so movin' on, yeah, yeah
Thanks to you
Now I get what I want
Since you been gone

How can I put it? You put me on
I even fell for that stupid love song
Yeah, yeah
Since you been gone

How come I'd never hear you say, ""I just wanna be with you""? (You, you)
Guess you never felt that way

But since you been gone
I can breathe for the first time
I'm so movin' on, yeah, yeah
Thanks to you
Now I get, I get what I want
Since you been gone

You had your chance, you blew it
Out of sight, out of mind
Shut your mouth, I just can't take it
Again and again and again and again

Since you been gone (Since you been gone)
I can breathe for the first time
I'm so movin' on, yeah, yeah
Thanks to you (Thanks to you)
Now I get, I get what I want (Gone)
I can breathe for the first time
I'm so movin' on, yeah, yeah
Thanks to you (Thanks to you)
Now I get (I get)
You should know (You should know)
That I get, I get what I want

Since you been gone
Since you been gone
Since you been gone"
Toxic,Britney Spears,2004,2000s,"147 ContributorsTranslationssrpskiPortuguêsEspañolTürkçeDeutschToxic Lyrics“Toxic” is a dance-pop anthem that depicts a dangerously addictive love. It serves as the second single for Britney Spears' fourth album, In The Zone. To this day, it remains Spears' biggest hit. 

Cathy… Read More 
Baby, can't you see I'm callin'?
A guy like you should wear a warnin'
It's dangerous, I'm fallin'
There's no escape, I can't wait
I need a hit, baby, give me it
You're dangerous, I'm lovin' it

Too high, can't come down
Losing my head, spinnin' 'round and 'round
Do you feel me now?

With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?

It's gettin' late to give you up
I took a sip from my devil's cup
Slowly, it's takin' over me

Too high, can't come down
It's in the air and it's all around
Can you feel me now?

With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
And I love what you do
Don't you know that you're toxic?
Don't you know that you're toxic?

Taste of your lips, I'm on a ride
You're toxic, I'm slippin' under
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?
With a taste of your lips, I'm on a ride
You're toxic, I'm slippin' under (Toxic)
With a taste of a poison paradise
I'm addicted to you
Don't you know that you're toxic?

Intoxicate me now with your lovin' now
I think I'm ready now (I think I'm ready now)
Intoxicate me now with your lovin' now
I think I'm ready now"
Yeah,Usher,2004,2000s,"138 ContributorsTranslationsDeutschsrpskiYeah! Lyrics“Yeah!” was released as the lead single to Usher’s fourth album Confessions. He connected with fellow Atlanta representatives Ludacris and Lil Jon for this crunk R&B jam with a synthesized beat that is a… Read More 
Peace up, A-Town down
Yeah (Yeah)
Okay (Okay)
Usher, Usher
And Lil Jon
Yeah-yeah-yeah, yeah, yeah, yeah
Yeah-yeah-yeah, yeah, yeah, yeah (What it do, shawty?)
Let's go

Up in the club with my homies
Tryna get a little V-I, keep it down on the low-key (Low-key)
'Cause you know how it is (Hey, hey)
I saw this shorty, she was checkin' up on me
From the game she was spittin' in my ear, you would think that she know me (Know me)
I decided to chill (Okay)
Conversation got heavy (Hey)
She had me feelin' like she's ready to blow
Watch out! (Oh)
Watch out!
She was sayin', ""Come get me"" (Come get me)
So I got up and followed her to the floor
She said, ""Baby, let's go"" (Let's go)
When I told her, I said

Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

So she's all up in my head now
Got me thinkin' that it might be a good idea to take her with me (With me)
'Cause she's ready to leave (Ready to leave now; oh, let's go)
Now I gotta keep it real now (Yeah)
'Cause on a one-to-ten, she's a certified twenty
But that just ain't me (Hey)
'Cause I don't know if I take that chance
Just where's it gonna lead
But what I do know is the way she dance
Make shorty alright with me (Hey, hey, hey)
The way she get low
I'm like, ""Yeah, just work that out for me""
She asked for one more dance
And I'm like, ""Yeah, how the hell am I supposed to leave?"" And I said (Let's go, bring the beat back)

Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah (Hey, hey, Luda)

Watch out, my outfit's ridiculous
In the club, lookin' so conspicuous
And raow, these women all on the prowl
If you hold the head steady, I'ma milk the cow (Yeah)
And forget about game, I'ma spit the truth (What)
I won't stop 'til I get 'em in they birthday suit (Yeah)
So gimme the rhythm and it'll be off with they clothes
Then bend over to the front and touch your toes
I left the Jag' and I took the Rolls
If they ain't cuttin', then I put 'em on foot patrol (Let's go, ow)
How you like me now
When my pinky's valued over three hundred thousand?
Let's drink, you the one to please (Yeah)
Ludacris fill cups like double Ds (Yeah)
Me and Ursh once more and we leaves 'em dead
We want a lady in the street, but a freak in the bed, that say

Yeah, yeah
Shawty got down low, she said, ""Come and get me""
Yeah, yeah
I got so caught up, I forgot she told me
Yeah, yeah
Her and my girl used to be the best of homies
Yeah, yeah
Next thing I knew, she was all up on me screamin'
Yeah, yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, yeah, yeah

Take that and rewind it back
Lil Jon got the beat that make ya booty go
Take that, rewind it back
Usher got the voice make ya booty go
Take that, rewind it back
Ludacris got the flow that make ya booty go
Take that, rewind it back
Lil Jon got the beat that make ya booty go"
Umbrella,Rihanna,2007,2000s,"154 ContributorsTranslationsPortuguêsEspañolUmbrella LyricsRihanna comforts her lover by telling him she will be there for him, in good times and bad. The umbrella is a metaphor for her support.

“Umbrella” stayed on top of the UK Singles Chart for 10 consecutive… Read More 
Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (Good Girl Gone Bad)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

No clouds in my stones, let it rain, I hydroplane in the bank
Comin' down with the Dow Jones (Ayy, ayy, ayy)
When the clouds come, we go, we Roc-A-Fella (Ayy-ayy-ayy, ayy)
We fly higher than weather, in G5's or better
You know me (You know me), in anticipation for precipitation
Stack chips for the rainy day
Jay, Rain Man is back (Ayy, ayy, ayy)
With Little Miss Sunshine, Rihanna, where you at? (Ayy-ayy-ayy, ayy)

You have my heart
And we'll never be worlds apart
May be in magazines
But you'll still be my star
Baby, 'cause in the dark
You can't see shiny cars
And that's when you need me there
With you, I'll always share because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Ayy, ayy, ayy

These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together, we'll mend your heart because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Ayy, ayy, ayy

You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So, gonna let the rain pour
I'll be all you need and more
Because

When the sun shine, we shine together
Told you I'll be here forever
Said ""I'll always be your friend""
Took an oath, I'ma stick it out 'til the end
Now that it's rainin' more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Under my umbrella
Ella-ella, ayy, ayy, ayy
Ayy, ayy, ayy

It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come into me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me
Come into me
It's pourin' rain
It's pourin' rain
Come into me
Come into me"
Hips Don't Lie,Shakira,2006,2000s,"147 ContributorsTranslationsPortuguêsDeutschHips Don’t Lie Lyrics“Hips Don’t Lie” is a hit song off of Shakira’s Oral Fixation Vol. 2.

This song is based on “Dance Like This” by Wyclef Jean/Claudette Ortiz, and it samples the trumpets from Jerry Rivera’s “Amores Como El… Read More 
Ladies up in here tonight
No fightin' (We got the refugees up in here)
No fightin'
No fightin'
Shakira, Shakira

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh; yeah)
You make a woman go mad (Oh)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body (Uno, dos, tres, cuatro)
No fightin'

I'm on tonight
You know my hips don't lie (No fighting)
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby? This is perfection

Hey, girl, I can see your body moving
And it's driving me crazy (Huh-uh)
And I didn't have the slightest idea
Until I saw you dancin' (Yeah)
And when you walk up on the dance floor, nobody cannot ignore
The way you move your body, girl (Just smooth)
And everything's so unexpected, the way you right and left it
So you can keep on shakin' it (Let's go)

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh; oh)
You make a woman go mad (So bad; oh)
So be wise (¡Sí!), and keep on (¡Sí!)
Reading the signs of my body
No fightin'

I'm on tonight
You know my hips don't lie (No fightin')
And I'm starting to feel you, boy (Yeah)
Come on, let's go, real slow
Don't you see, baby? Así es perfecto
They know I'm on tonight (Yeah)
My hips don't lie and I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby? This is perfection (Shakira, Shakira)

Oh, boy, I can see your body movin', half-animal, half-man
I don't, don't really know what I'm doin'
But you seem to have a plan (Yeah)
My will and self-restraint have come to fail now, fail now
See, I'm doing what I can, but I can't, so, you know
That's a bit too hard to explain (Uno, dos, tres, cuatro)

Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)
Baila en la calle de noche (Uh, yeah)
Baila en la calle de día (Let's go!)

I never really knew that she could dance like this (Hey)
She make a man wanna speak Spanish (Yeah)
¿Cómo se llama? (¡Sí!), ¿bonita? (¡Sí!)
Mi casa (Shakira, Shakira), su casa
Oh, baby, when you talk like that (Huh-uh) (Oh)
You know you got me hypnotized (Oh)
So be wise (¡Sí! Uh), and keep on (¡Sí! Uh)
Readin' the signs of my body (Yeah)

Señorita, feel the conga
Let me see you move like you come from Colombia
Yeah, oh, yeah, ladies, ¡sí! (Yeah, yeah, hey, yeah)
Mira, en Barranquilla se baila así, say it! (Yeah)
En Barranquilla se baila así (Yeah)
Ayy (Prr), yeah

She's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country (Huh-uh)
I go back like when 'Pac carried crates for Humpty Humpty
We leave the whole club jazzy
Why the CIA wanna watch us?
It's the Colombians and Haitians
I ain't guilty, it's a musical transaction
Bo-bop-so-bop, no more do we snatch ropes
Refugees run the seas, 'cause we own our own boats, boats (No fightin')

I'm on tonight
My hips don't lie, and I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto (No fighting)
Oh, you know I'm on tonight
My hips don't lie, and I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection

No fightin'
No fightin'"
Poker Face,Lady Gaga,2008,2000s,"244 ContributorsTranslationsTürkçeEspañolPortuguêsNederlandsDeutschČeskysrpskiPolskiPoker Face LyricsAre the rules of sexual attraction akin to the rules of poker? Lady Gaga asserts “Poker Face” is about bisexuality. She described poker face as the expression she pulls when she’s having sex with a man, but… Read More 
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah
Mum-mum-mum-mah

I wanna hold 'em like they do in Texas, please (Woo)
Fold 'em, let 'em hit me, raise it, baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)

I wanna roll with him, a hard pair we will be (Woo)
A little gamblin' is fun when you're with me (I love it, woo)
Russian roulette is not the same without a gun
And baby, when it's love, if it's not rough, it isn't fun, fun

Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got
Oh, woah-oh, oh, oh
Oh-oh-oh-oh-oh-oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)
(Mum-mum-mum-mah)

I won't tell you that I love you
Kiss or hug you
'Cause I'm bluffin' with my muffin
I'm not lyin', I'm just stunnin' with my love-glue-gunnin'
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, f-f-fuck her face
P-p-p-poker face, f-f-fuck her face
(She's got me like nobody)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)
P-p-p-poker face, f-f-fuck her face
(Mum-mum-mum-mah)"
Single Ladies,Beyonce,2008,2000s,
Beautiful Day,U2,2000,2000s,"88 ContributorsTranslationsPortuguêsBeautiful Day LyricsThe lead single from the 2000 album All That You Can’t Leave Behind is about finding happiness in the dreariest of situations. It went straight to #1 on the UK charts, making it the group’s fourth UK #1 after… Read More 
The heart is a bloom, shoots up through the stony ground
There's no room, no space to rent in this town
You're out of luck, and the reason that you had to care
The traffic is stuck, and you're not moving anywhere
You thought you'd found a friend to take you out of this place
Someone you could lend a hand in return for grace

It's a beautiful day
Sky falls, you feel like
It's a beautiful day
Don't let it get away

You're on the road, but you've got no destination
You're in the mud, in the maze of her imagination
You love this town even if that doesn't ring true
You've been all over, and it's been all over you

It's a beautiful day
Don't let it get away
It's a beautiful day
Ooh-hoo-hoo

Touch me
Take me to that other place
Teach me
I know I'm not a hopeless case

See the world in green and blue
See China right in front of you
See the canyons broken by cloud
See the tuna fleets clearing the sea out
See the Bedouin fires at night
See the oil fields at first light
And see the bird with a leaf in her mouth
After the flood all the colours came out

It was a beautiful day
Don't let it get away
Beautiful day

Touch me
Take me to that other place
Reach me
I know I'm not a hopeless case

What you don't have you don't need it now
What you don't know you can feel it somehow
What you don't have you don't need it now
Don't need it now
Was a beautiful day"
Lose Yourself,Eminem,2002,2000s,"854 ContributorsTranslationsDeutschTürkçeFrançaisالعربيةSvenskaفارسیazərbaycanItalianoעברית (Hebrew)PolskiPortuguêsहिन्दी (Hindi)EspañolsrpskiУкраїнськаРусский (Russian)Lose Yourself Lyrics“Lose Yourself” is the theme song from Eminem’s semi-biographical 2002 movie 8 Mile. Eminem is narrating the life of the film’s protagonist, Jimmy, up until the third verse, where Jimmy and Eminem’s journey… Read More 
Look, if you had one shot or one opportunity
To seize everything you ever wanted in one moment
Would you capture it or just let it slip?
Yo

His palms are sweaty, knees weak, arms are heavy
There's vomit on his sweater already, mom's spaghetti
He's nervous, but on the surface, he looks calm and ready
To drop bombs, but he keeps on forgetting
What he wrote down, the whole crowd goes so loud
He opens his mouth, but the words won't come out
He's chokin', how? Everybody's jokin' now
The clock's run out, time's up, over, blaow
Snap back to reality, ope, there goes gravity
Ope, there goes Rabbit, he choked, he's so mad
But he won't give up that easy, no, he won't have it
He knows his whole back's to these ropes, it don't matter
He's dope, he knows that, but he's broke, he's so stagnant
He knows when he goes back to this mobile home, that's when it's
Back to the lab again, yo, this old rhapsody
Better go capture this moment and hope it don't pass him

You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better

His soul's escaping through this hole that is gaping
This world is mine for the taking, make me king
As we move toward a new world order
A normal life is boring, but superstardom's
Close to post-mortem, it only grows harder
Homie grows hotter, he blows, it's all over
These hoes is all on him, coast-to-coast shows
He's known as the Globetrotter, lonely roads
God only knows he's grown farther from home, he's no father
He goes home and barely knows his own daughter
But hold your nose 'cause here goes the cold water
These hoes don't want him no mo', he's cold product
They moved on to the next schmoe who flows
He nose-dove and sold nada, and so the soap opera
Is told, it unfolds, I suppose it's old, partner
But the beat goes on, da-da-dom, da-dom, dah-dah-dah-dah

You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better

No more games, I'ma change what you call rage
Tear this motherfuckin' roof off like two dogs caged
I was playin' in the beginning, the mood all changed
I've been chewed up and spit out and booed off stage
But I kept rhymin' and stepped right in the next cypher
Best believe somebody's payin' the Pied Piper
All the pain inside amplified by the
Fact that I can't get by with my nine-to-
Five and I can't provide the right type of life for my family
'Cause, man, these goddamn food stamps don't buy diapers
And there's no movie, there's no Mekhi Phifer, this is my life
And these times are so hard, and it's gettin' even harder
Tryna feed and water my seed, plus teeter-totter
Caught up between bein' a father and a prima donna
Baby-mama drama, screamin' on her, too much for me to wanna
Stay in one spot, another day of monotony's gotten me
To the point I'm like a snail, I've got
To formulate a plot or end up in jail or shot
Success is my only motherfuckin' option, failure's not
Mom, I love you, but this trailer's got
To go, I cannot grow old in Salem's Lot
So here I go, it's my shot, feet, fail me not
This may be the only opportunity that I got

You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better lose yourself in the music
The moment, you own it, you better never let it go (Go)
You only get one shot, do not miss your chance to blow
This opportunity comes once in a lifetime, yo
You better

You can do anything you set your mind to, man"
Complicated,Avril Lavigne,2002,2000s,"114 ContributorsTranslationsPortuguêsDeutschEspañolComplicated Lyrics“Complicated” is the first single from Avril’s debut album Let Go, and by extension her entire music career. It’s about the problems that arise when you pretend to be something you’re not and you just need to… Read More 
Uh-huh, life's like this
Uh-huh, uh-huh
That's the way it is (Ooh, la-la-la-la-la)
'Cause life's like this
Uh-huh, uh-huh (Ooh, la-la-la-la-la)
That's the way it is

Chill out, whatcha yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see
I like you the way you are
When we're drivin' in your car
And you're talkin' to me
One-on-one, but you become

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no

You come over unannounced
Dressed up like you're somethin' else
Where you are ain't where it's at
You see, you're makin' me
Laugh out when you strike your pose
Take off all your preppy clothes
You know, you're not foolin'
Anyone when you become

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no (No)

No (No, no, no)
No (No, no, no)
No (No, no, no), no

Chill out, whatcha yellin' for?
Lay back, it's all been done before
And if you could only let it be
You will see

Somebody else 'round everyone else
You're watchin' your back like you can't relax
You're tryna be cool
You look like a fool to me, tell me

Why'd you have to go and make things so complicated?
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no
Why'd you have to go and make things so complicated? (Ayy-yay)
I see the way you're
Actin' like you're somebody else, gets me frustrated
Life's like this, you
You fall, and you crawl, and you break
And you take what you get and you turn it into
Honesty, and promise me, I'm never gonna find you fake it
No, no, no"
